Country/Region,Brand Name,Car Model,Year of Manufacturing,Battery Type,Battery Capacity (kWh),Charging Time (Slow),Charging Time (Fast),Reviews,Range (km/miles),Important Details
India,Tata,Nexon.ev LR,2023,LFP,40.5,15 hours (3.3kW),56 mins (50kW),8.5/10,465 km,"India's best-selling EV, updated with new gen-2 motor."
India,Tata,Tiago.ev,2022,LFP,24,8.7 hours (3.3kW),58 mins (DC),8.0/10,315 km,Affordable entry-level EV hatchback.
India,Tata,Tigor.ev,2021,LFP,26,9.4 hours,59 mins,7.5/10,315 km,Compact electric sedan popular in fleet and private use.
India,Tata,Punch.ev,2024,LFP,35,13.5 hours,56 mins,8.8/10,421 km,First Tata EV on the pure EV acti.ev platform.
India,Tata,Curvv.ev,2024,LFP,55,11 hours (7.2kW),40 mins (DC),8.6/10,585 km,Coupe-SUV styling with V2L and V2V tech.
India,Tata,Harrier.ev,2025,LFP Liquid Cooled,75,9.3 hours,25 mins,9.0/10,627 km,AWD capability built on acti.ev Plus architecture.
India,Tata,Sierra.ev,2026,LFP,75,9.5 hours,30 mins,8.9/10,550 km,Reborn iconic SUV with modern minimalist design.
India,Mahindra,XUV400,2023,NMC,39.4,13 hours,50 mins,8.0/10,456 km,Fastest C-segment EV SUV in India at launch.
India,Mahindra,BE 6e,2025,LFP (INGLO),79,6 hours (11kW),20 mins (180kW),8.8/10,682 km,"Aggressive styling, RWD 286hp, born-EV architecture."
India,Mahindra,XEV 9e,2025,LFP (INGLO),79,6 hours,20 mins,8.7/10,650 km,"Triple screen layout, premium flagship luxury SUV."
India,Mahindra,BE.09,2026,LFP,80,6.5 hours,22 mins,N/A,670 km,Grand-touring styled multi-motor premium coupe SUV.
India,Mahindra,XUV.e8,2025,LFP,80,7 hours,25 mins,N/A,600 km,Electric version of the popular XUV700.
India,Mahindra,XUV.e9,2025,LFP,80,7 hours,25 mins,N/A,600 km,Coupe-styled sibling to the XUV.e8.
India,Hyundai,Creta EV,2026,Lithium-ion,51.4,4.8 hours (11kW),58 mins,9.1/10,510 km,Highly anticipated mass-market electrification of top SUV.
India,Maruti Suzuki,eVitara,2026,LFP Blade,61,9 hours,45 mins,8.6/10,543 km,"Standard 7 airbags, Suzuki-Toyota global collaboration."
India,MG,ZS EV,2020,LFP,50.3,16 hours (3.3kW),60 mins,8.4/10,461 km,Early successful premium EV in India with panoramic sunroof.
India,MG,Comet EV,2023,LFP,17.3,7 hours,N/A (No DC),7.8/10,230 km,"Compact urban commuter, tech-loaded interior."
India,MG,Windsor EV,2024,LFP,38,12 hours,55 mins,8.5/10,331 km,Introduced BaaS (Battery as a Service) pay-per-km model.
India,BYD,Seal (India Spec),2024,LFP Blade,82.5,12 hours,37 mins (150kW),9.2/10,650 km,"High-performance aerodynamic sedan, incredible value for money."
India,Citroen,eC3,2023,LFP,29.2,10.5 hours,57 mins,7.5/10,320 km,"Comfort-oriented suspension, basic feature list."
India,Citroen,eC3 Aircross,2026,LFP,40,12 hours,55 mins,N/A,400 km,Upcoming multi-seater EV SUV based on C3 Aircross.
India,Kia,EV6 (India Spec),2022,NMC,77.4,7.5 hours (11kW),18 mins (350kW),9.3/10,708 km (ARAI),Imported flagship 800V architecture crossover.
India,Kia,Carens EV,2026,LFP,45,10 hours,45 mins,N/A,400 km,Electric version of the popular 3-row RV.
India,Skoda,Enyaq iV,2025,NMC,77,7.5 hours,36 mins,8.8/10,510 km,Skoda's premium MEB-platform SUV entering the Indian market.
India,Volvo,XC40 Recharge,2022,NMC,78,8 hours,33 mins,8.7/10,418 km,Locally assembled luxury EV with robust safety features.
USA,Tesla,Model 3 LR RWD,2024,NMC,82,10 hours,25 mins,9.1/10,363 miles,Highland refresh with improved suspension and cabin quietness.
USA,Tesla,Model Y Juniper,2025,NMC/LFP,82,10 hours,25 mins,9.3/10,330 miles,Expected major aesthetic and interior upgrade for best-seller.
USA,Tesla,Model S Plaid,2021,NCA,100,12 hours,27 mins,9.5/10,359 miles,"Tri-motor 1020 hp setup, yoke steering option."
USA,Tesla,Model X Plaid,2021,NCA,100,12 hours,27 mins,9.0/10,333 miles,"Falcon wing doors, fastest accelerating SUV."
USA,Tesla,Cybertruck Cyberbeast,2024,4680,123,14 hours,40 mins,8.5/10,320 miles,"Stainless steel exoskeleton, steer-by-wire system."
USA,Tesla,Roadster Gen 2,2027,Advanced Li-ion,200,20 hours,45 mins,N/A,620 miles,"Delayed hypercar, promised sub-1.9s 0-60mph."
USA,Rivian,R1T Dual Motor,2023,NMC,135,13 hours,45 mins,9.2/10,352 miles,Highly capable off-road electric truck with gear tunnel.
USA,Rivian,R1S Quad Motor,2022,NMC,135,13 hours,45 mins,9.1/10,321 miles,7-seater luxury adventure SUV.
USA,Rivian,R2,2026,4695 Cylindrical,85,8 hours,20 mins,N/A,300+ miles,"Mass-market 5-seater SUV starting at $45,000."
USA,Rivian,R3X,2027,4695 Cylindrical,70,7 hours,20 mins,N/A,300 miles,Rally-inspired compact crossover.
USA,Lucid,Air Grand Touring,2022,NMC,112,10 hours,21 mins,9.4/10,516 miles,"900V architecture, exceptional aerodynamic efficiency."
USA,Lucid,Air Sapphire,2023,NMC,118,11 hours,21 mins,9.7/10,427 miles,"Tri-motor setup, 1234 hp, fastest production sedan."
USA,Lucid,Gravity,2025,NMC,120,11 hours,20 mins,9.2/10,440 miles,"Spacious luxury SUV, extremely compact custom motors."
USA,Ford,F-150 Lightning ER,2022,NMC,131,10 hours (80A),41 mins,8.9/10,320 miles,Features Pro Power Onboard to run tools and homes.
USA,Ford,Mustang Mach-E GT,2021,NMC,91,10 hours,45 mins,8.5/10,270 miles,Sporty crossover borrowing Mustang design cues.
USA,Chevrolet,Blazer EV,2023,Ultium,85,9 hours,35 mins,8.2/10,279 miles,"Offered in FWD, RWD, and AWD variants on Ultium platform."
